# id	left	top	right	bottom	texture_id
[SPRITES]
############### FLY (10.000.000) ###############
#IDLE LEFT (1) & RIGHT (0)
10000001	182	634	203	662	0
10000000	243	634	264	662	0

#KICK LEFT(1) RIGHT(0)
10000021	2	754	24	782	0
10000020	422	754	444	782	0

# WALK LEFT (200) & RIGHT (100)
10000201	122	634	143	662	0
10000202	152	634	174	662	0
10000203	182	634	203	662	0
10000101	272	634	294	662	0
10000102	303	634	324	662	0
10000103	243	634	264	662	0

# RUN LEFT (500) & RIGHT (400)
10000501	91	634	115	662	0
10000502	61	634	84	662	0
10000503	32	634	53	662	0

10000401	331	634	355	662	0
10000402	362	634	385	662	0
10000403	393	634	414	662	0

#RUNNING HOLD LEFT (510) & RIGHT (410)
10000510	182	794	204	822	0
10000511	152	794	174	822	0
10000512	122	794	144	822	0

10000410	242	794	264	822	0
10000411	272	794	294	822	0
10000412	303	794	324	822	0

# BRACE RIGHT (1000) & LEFT (1001)
10001000	425	633	441	662	0
10001001	5	633	21	662	0

# JUMP (30.000)
## WALK LEFT (200) & RIGHT (100)
10030100	392	754	415	781	0
10030200	31	754	54	781	0

## RUN LEFT (500) & RIGHT (400)
10030501	61	754	85	781	0
10030502	91	714	115	741	0
10030503	61	714	85	741	0
10030401	361	754	385	781	0
10030402	331	714	355	741	0
10030403	361	714	385	741	0

# JUMP RELEASE (31.000) + LEFT (200) & RIGHT (100)
10031101	302	874	324	902	0
10031102	360	874	383	902	0
10031103	391	874	414	902	0
10031201	122	874	144	902	0
10031202	63	874	86	902	0
10031203	32	874	55	902	0

# SIT (14, 18) 
## RIGHT (600) & LEFT (610)
10000611	2	719	24	737	0
10000612	32	719	54	737	0
10000601	392	719	414	737	0
10000602	422	719	444	737	0

#ATTACK (22, 28)
## FACE(16, 30)
10007001	215	633	231	662	0
## BACK(16, 30)
10007004	215	674	231	702	0
## LEFT, RIGHT(21, 28)
10007002	4	873	26	900	0
10007003	418	873	440	900	0

### LEFT, RIGHT DUMMY
10007004	182	633	203	662	0
10007005	243	633	264	662	0

############### BIG ###############
#IDLE
11121	246	154	259	181	0
11111	186	154	199	181	0

#KICK LEFT(1) RIGHT(0)
11151	2	274	23	301	0
11150	422	274	444	301	0

#IDLE HOLD (LEFT, RIGHT)
11021	182	794	204	822	0
11011	242	794	264	822	0

#WALKING RIGHT
11222	275	154	290	181	0
11223	304	154	321	181	0

#WALKING LEFT
11212	155	154	170	181	0
11213	125	154	140	181	0

#RUNNING RIGHT
11321	334	154	355	181	0
11322	334	154	355	181	0
11323	392	154	413	181	0

#RUNNING HOLD RIGHT
11340	247	314	263	341	0
11341	277	314	293	341	0
11342	305	314	321	341	0

#RUNNING LEFT
11311	91	154	112	181	0
11312	65	154	86	181	0
11313	34	154	55	181	0

#RUNNING HOLD LEFT
11330	185	314	201	341	0
11331	155	314	172	341	0
11332	125	314	141	341	0

#JUMP WALK RIGHT
11417	395	275	412	302	0
11413	35	275	52	302	0

#JUMP RUN RIGHT & LEFT
11427	394	195	413	222	0
11423	35	195	52	222	0

#SIT RIGHT & LEFT 
11521	426	239	441	256	0
11511	5	239	20	256	0

#BRACE RIGHT & LEFT 
11621	425	154	442	181	0
11611	5	154	22	181	0

############ SMALL ################
#DIE
13001	215	120	234	137	0

#IDLE
12121	247	0	260	15	0
12111	187	0	200	15	0

#KICK LEFT(1) RIGHT(0)
12101	5	80	21	96	0
12100	425	80	441	96	0

#WALK RIGHT
12222	275	0	292	15	0
12223	306	0	321	15	0

#WALK LEFT
12212	155	0	170	15	0
12213	125	0	140	15	0

#RUN RIGHT
12321	275	0	290	15	0
12322	306	0	321	15	0
12323	335	0	350	15	0

#RUN HOLD RIGHT
12341	246	120	260	136	0
12342	276	120	291	136	0

#RUN LEFT
12311	155	0	170	15	0
12312	125	0	140	15	0
12313	95	0	110	15	0

#RUN HOLD LEFT
12351	186	120	200	136	0
12352	155	120	170	136	0

#BRACE RIGHT & LEFT
12511	6	0	19	15	0
12521	426	0	439	15	0

#JUMP WALK RIGHT & LEFT 
12413	35	80	50	95	0
12417	395	80	410	95	0

#JUMP RUN RIGHT & LEFT 
12423	65	40	80	55	0
12427	365	40	380	55	0

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
################### FLY (10.000.000) #################
#IDLE HOLD (10) LEFT (1) & RIGHT (0)
10000000	10000000	100
10000001	10000001	100
10000010	10000410	100
10000011	10000510	100

#KICK LEFT(1) RIGHT(0)
10000020	10000020	100
10000021	10000021	100

#WALKING RIGHT (100) & LEFT (200)
10000200	10000201	100	10000202	100	10000203	100
10000100	10000101	100	10000102	100	10000103	100

#RUNNING HOLD (10) RIGHT (400) & LEFT (500)
10000400	10000401	100	10000402	100	10000403	100
10000500	10000501	100	10000502	100	10000503	100
10000410	10000410	100	10000411	100	10000412	100
10000510	10000510	100	10000511	100	10000512	100

# BRACE RIGHT (1000) & LEFT (1001)
10001000	10001000	100
10001001	10001001	100

# SIT (14, 18) RIGHT (600) & LEFT (610)
10000600	10000601	100	10000602	100
10000610	10000611	100	10000612	100

# JUMP (30.000)
## WALK LEFT (200) & RIGHT (100)
10030100	10030100	100
10030200	10030200	100

## RUN_OPENARM, AFTER FLAP ON AIR LEFT (500) & RIGHT (400)
10030503	10030503	100
10030403	10030403	100

## RUN LEFT (500) & RIGHT (400) + NO FLAP (0) & FLAPPING (1)
10030500	10030501	100
10030501	10030501	150	10030502	150	10030503	150
10030400	10030401	100
10030401	10030401	150	10030402	150	10030403	150

# JUMP RELEASE (31.000)
## WALKING RIGHT (100) & LEFT (200) + NO FLAP (0) & FLAPPING (1)
10031200	10031201	100
10031201	10031201	100	10031202	100	10031203	100
10031100	10031101	100
10031101	10031101	100	10031102	100	10031103	100

# ATTACK
10007000	10007001	100	10007002	100	10007003	100	10007004	100

################### BIG #################
#IDLE + HOLD(10) + LEFT(1) + RIGHT(0) 
400	11121	100
401	11111	100
410	11340	100
411	11330	100

#KICK LEFT(1) RIGHT(0)
420	11150	100
421	11151	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING HOLD (10) RIGHT (0) & LEFT (1)
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50
610	11340	50	11341	50	11342	50
611	11330	50	11331	50	11332	50

#JUMP WALK & LEFT
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

################### SMALL #################
#IDLE HOLD(10) LEFT(2) RIGHT(0)
11100	12121	100
11102	12111	100
11110	12341	100
11112	12351	100

#KICK LEFT(1) RIGHT(0)
11120	12100	100
11121	12101	100

#WALK LEFT & RIGHT 
11200	12121	100	12222	100	12223	100
11201	12111	100	12212	100	12213	100

#RUN HOLD(10) LEFT(1) RIGHT(0)
11300	12321	100	12322	100	12323	100
11301	12311	100	12312	100	12313	100
11310	12341	100	12342	100
11311	12351	100	12352	100

#BRACE LEFT & RIGHT
11401	12511	100
11400	12521	100

#JUMP WALK
11500	12417	100
11501	12413	100

#JUMP RUN 
11601	12423	100
11600	12427	100
