# list of object assets to load in this scene
[ASSETS]
objects\mario.txt
objects\brick.txt
objects\destroyable_brick.txt
objects\coin.txt
objects\goomba.txt
objects\cloud.txt
objects\red_koopa.txt
objects\green_koopa.txt
objects\BlockQ_BlockW_BlockF.txt
objects\Plant_Enemy.txt
objects\super_items.txt

#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 11 = ?Block Coin
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	150	30

# BRICKS
# 2020000	0	164
# 2020000	16	164
# 2020000	32	164
# 2020000	48	164
# 2020000	64	164

1020000	0	164

1020000	0	196
1020000	0	180
1020000	16	180
1020000	32	180
1020000	48	180
1020000	64	180
1020000	80	180
1020000	96	180
1	112	180
1	128	180
1	144	180
1	160	180
1	176	180
1	192	180
1	208	180
1	224	180
1	240	180
1	256	180
1	272	180
1	288	180
1	304	180
1	320	180
1	336	180
1	352	180
1020000	240	164
1020000	256	164
1020000	272	164
1020000	288	164
1020000	304	164
2020000	320	164
2020000	90	104
2020000	74	104
2020000	58	104

# 2001000	100	56

1	352	148
1	352	164


#COIN
4	100	120
4	120	120
4	140	120
4	160	120
4	180	120



#?Block
12	180	50

#Plant
653	190	140

#Goomba
#2	300	10

#Koopa
1002000	300	100

#Platform
5	90	136	16	15	16	51000	52000	53000
#5	120	90	16	16	8	20001	20001	20001

#Portal 
#50	300	110	316	140	2
